"date","country","confirmed","death","recovered","active"
2020-01-22,"China",548,17,28,503
2020-01-22,"Japan",2,0,0,2
2020-01-22,"South Korea",1,0,0,1
2020-01-22,"Taiwan",1,0,0,1
2020-01-22,"Thailand",2,0,0,2
2020-01-22,"US",1,0,0,1
2020-01-23,"Australia",0,0,0,0
2020-01-23,"Brazil",0,0,0,0
2020-01-23,"China",643,18,30,595
2020-01-23,"Colombia",0,0,0,0
2020-01-23,"Japan",1,0,0,1
2020-01-23,"Malaysia",0,0,0,0
2020-01-23,"Mexico",0,0,0,0
2020-01-23,"Philippines",0,0,0,0
2020-01-23,"Singapore",1,0,0,1
2020-01-23,"South Korea",1,0,0,1
2020-01-23,"Taiwan",1,0,0,1
2020-01-23,"Thailand",3,0,0,3
2020-01-23,"US",1,0,0,1
2020-01-23,"Vietnam",2,0,0,2
2020-01-24,"China",920,26,36,858
2020-01-24,"France",2,0,0,2
2020-01-24,"Japan",2,0,0,2
2020-01-24,"Singapore",3,0,0,3
2020-01-24,"South Korea",2,0,0,2
2020-01-24,"Taiwan",3,0,0,3
2020-01-24,"Thailand",5,0,0,5
2020-01-24,"US",2,0,0,2
2020-01-24,"Vietnam",2,0,0,2
2020-01-25,"Australia",4,0,0,4
2020-01-25,"China",1406,42,39,1325
2020-01-25,"France",3,0,0,3
2020-01-25,"Japan",2,0,0,2
2020-01-25,"Malaysia",3,0,0,3
2020-01-25,"Nepal",1,0,0,1
2020-01-25,"Singapore",3,0,0,3
2020-01-25,"South Korea",2,0,0,2
2020-01-25,"Taiwan",3,0,0,3
2020-01-25,"Thailand",7,0,0,7
2020-01-25,"US",2,0,0,2
2020-01-25,"Vietnam",2,0,0,2
2020-01-26,"Australia",4,0,0,4
2020-01-26,"Canada",1,0,0,1
2020-01-26,"China",2075,56,49,1970
2020-01-26,"France",3,0,0,3
2020-01-26,"Japan",4,0,1,3
2020-01-26,"Malaysia",4,0,0,4
2020-01-26,"Nepal",1,0,0,1
2020-01-26,"Singapore",4,0,0,4
2020-01-26,"South Korea",3,0,0,3
2020-01-26,"Taiwan",4,0,0,4
2020-01-26,"Thailand",8,0,2,6
2020-01-26,"US",5,0,0,5
2020-01-26,"Vietnam",2,0,0,2
2020-01-27,"Australia",5,0,0,5
2020-01-27,"Cambodia",1,0,0,1
2020-01-27,"Canada",1,0,0,1
2020-01-27,"China",2877,82,58,2737
2020-01-27,"France",3,0,0,3
2020-01-27,"Ivory Coast",1,0,0,1
2020-01-27,"Japan",4,0,1,3
2020-01-27,"Malaysia",4,0,0,4
2020-01-27,"Nepal",1,0,0,1
2020-01-27,"Singapore",5,0,0,5
2020-01-27,"South Korea",4,0,0,4
2020-01-27,"Sri Lanka",1,0,0,1
