"date","country","confirmed","death","recovered","active"
2020-01-31,"Italy",2,0,0,2
2020-02-01,"Italy",2,0,0,2
2020-02-02,"Italy",2,0,0,2
2020-02-03,"Italy",2,0,0,2
2020-02-04,"Italy",2,0,0,2
2020-02-05,"Italy",2,0,0,2
2020-02-06,"Italy",2,0,0,2
2020-02-07,"Italy",3,0,0,3
2020-02-08,"Italy",3,0,0,3
2020-02-09,"Italy",3,0,0,3
2020-02-10,"Italy",3,0,0,3
2020-02-11,"Italy",3,0,0,3
2020-02-12,"Italy",3,0,0,3
2020-02-13,"Italy",3,0,0,3
2020-02-14,"Italy",3,0,0,3
2020-02-15,"Italy",3,0,0,3
2020-02-16,"Italy",3,0,0,3
2020-02-17,"Italy",3,0,0,3
2020-02-18,"Italy",3,0,0,3
2020-02-19,"Italy",3,0,0,3
2020-02-20,"Italy",3,0,0,3
2020-02-21,"Italy",20,1,0,19
2020-02-22,"Italy",62,2,1,59
2020-02-23,"Italy",155,3,2,150
2020-02-24,"Italy",229,7,1,221
2020-02-25,"Italy",322,10,1,311
2020-02-26,"Italy",400,12,3,385
2020-02-27,"Italy",650,17,45,588
2020-02-28,"Italy",888,21,46,821
2020-02-29,"Italy",1128,29,50,1049
2020-03-01,"Italy",1694,34,83,1577
2020-03-02,"Italy",2036,52,149,1835
2020-03-03,"Italy",2502,79,160,2263
2020-03-04,"Italy",3089,107,276,2706
2020-03-05,"Italy",3858,148,414,3296
2020-03-06,"Italy",4636,197,523,3916
2020-03-07,"Italy",5883,233,589,5061
2020-03-08,"Italy",7375,366,622,6387
2020-03-09,"Italy",9172,463,724,7985
2020-03-10,"Italy",10149,631,1004,8514
2020-03-11,"Italy",12462,827,1045,10590
2020-03-12,"Italy",15113,1016,1258,12839
2020-03-13,"Italy",17660,1266,1439,14955
2020-03-14,"Italy",21157,1441,1966,17750
2020-03-15,"Italy",24747,1809,2335,20603
2020-03-16,"Italy",27980,2158,2749,23073
2020-03-17,"Italy",31506,2503,2941,26062
2020-03-18,"Italy",35713,2978,4025,28710
2020-03-19,"Italy",41035,3405,4440,33190
2020-03-20,"Italy",47021,4032,5129,37860
2020-03-21,"Italy",53578,4825,6072,42681
2020-03-22,"Italy",59138,5476,7024,46638
2020-03-23,"Italy",63927,6077,7432,50418
2020-03-24,"Italy",69176,6820,8326,54030
2020-03-25,"Italy",74386,7503,9362,57521
2020-03-26,"Italy",80539,8165,10361,62013
2020-03-27,"Italy",86498,9134,10950,66414
2020-03-28,"Italy",92472,10023,12384,70065
2020-03-29,"Italy",97689,10779,13030,73880
2020-03-30,"Italy",101739,11591,14620,75528
2020-03-31,"Italy",105792,12428,15729,77635
