"date","country","region","confirmed","death","recovered","iso3","population"
2020-01-22,"China","Anhui",1,0,0,"CHN",1392730000
2020-01-22,"China","Beijing",14,0,0,"CHN",1392730000
2020-01-22,"China","Chongqing",6,0,0,"CHN",1392730000
2020-01-22,"China","Fujian",1,0,0,"CHN",1392730000
2020-01-22,"China","Gansu",0,0,0,"CHN",1392730000
2020-01-22,"China","Guangdong",26,0,0,"CHN",1392730000
2020-01-22,"China","Guangxi",2,0,0,"CHN",1392730000
2020-01-22,"China","Guizhou",1,0,0,"CHN",1392730000
2020-01-22,"China","Hainan",4,0,0,"CHN",1392730000
2020-01-22,"China","Hebei",1,0,0,"CHN",1392730000
2020-01-22,"China","Heilongjiang",0,0,0,"CHN",1392730000
2020-01-22,"China","Henan",5,0,0,"CHN",1392730000
2020-01-22,"China","Hong Kong",0,0,0,"CHN",1392730000
2020-01-22,"China","Hubei",444,17,28,"CHN",1392730000
2020-01-22,"China","Hunan",4,0,0,"CHN",1392730000
2020-01-22,"China","Inner Mongolia",0,0,0,"CHN",1392730000
2020-01-22,"China","Jiangsu",1,0,0,"CHN",1392730000
2020-01-22,"China","Jiangxi",2,0,0,"CHN",1392730000
2020-01-22,"China","Jilin",0,0,0,"CHN",1392730000
2020-01-22,"China","Liaoning",2,0,0,"CHN",1392730000
2020-01-22,"China","Macau",1,0,0,"CHN",1392730000
2020-01-22,"China","Ningxia",1,0,0,"CHN",1392730000
2020-01-22,"China","Qinghai",0,0,0,"CHN",1392730000
2020-01-22,"China","Shaanxi",0,0,0,"CHN",1392730000
2020-01-22,"China","Shandong",2,0,0,"CHN",1392730000
2020-01-22,"China","Shanghai",9,0,0,"CHN",1392730000
2020-01-22,"China","Shanxi",1,0,0,"CHN",1392730000
2020-01-22,"China","Sichuan",5,0,0,"CHN",1392730000
2020-01-22,"China","Tianjin",4,0,0,"CHN",1392730000
2020-01-22,"China","Tibet",0,0,0,"CHN",1392730000
2020-01-22,"China","Xinjiang",0,0,0,"CHN",1392730000
2020-01-22,"China","Yunnan",1,0,0,"CHN",1392730000
2020-01-22,"China","Zhejiang",10,0,0,"CHN",1392730000
2020-01-22,"Japan","",2,0,0,"JPN",126529100
2020-01-22,"South Korea","",1,0,0,"KOR",51635256
2020-01-22,"Taiwan","Taiwan",1,0,0,"TWN",NA
2020-01-22,"Thailand","",2,0,0,"THA",69428524
2020-01-22,"US","Washington",1,0,0,"USA",327167434
2020-01-23,"Australia","",0,0,0,"AUS",24992369
2020-01-23,"Brazil","",0,0,0,"BRA",209469333
2020-01-23,"China","Anhui",9,0,0,"CHN",1392730000
2020-01-23,"China","Beijing",22,0,0,"CHN",1392730000
2020-01-23,"China","Chongqing",9,0,0,"CHN",1392730000
2020-01-23,"China","Fujian",5,0,0,"CHN",1392730000
2020-01-23,"China","Gansu",2,0,0,"CHN",1392730000
2020-01-23,"China","Guangdong",32,0,2,"CHN",1392730000
2020-01-23,"China","Guangxi",5,0,0,"CHN",1392730000
2020-01-23,"China","Guizhou",3,0,0,"CHN",1392730000
2020-01-23,"China","Hainan",5,0,0,"CHN",1392730000
2020-01-23,"China","Hebei",1,1,0,"CHN",1392730000
2020-01-23,"China","Heilongjiang",2,0,0,"CHN",1392730000
2020-01-23,"China","Henan",5,0,0,"CHN",1392730000
2020-01-23,"China","Hong Kong",2,0,0,"CHN",1392730000
2020-01-23,"China","Hubei",444,17,28,"CHN",1392730000
2020-01-23,"China","Hunan",9,0,0,"CHN",1392730000
2020-01-23,"China","Inner Mongolia",0,0,0,"CHN",1392730000
2020-01-23,"China","Jiangsu",5,0,0,"CHN",1392730000
2020-01-23,"China","Jiangxi",7,0,0,"CHN",1392730000
2020-01-23,"China","Jilin",1,0,0,"CHN",1392730000
2020-01-23,"China","Liaoning",3,0,0,"CHN",1392730000
2020-01-23,"China","Macau",2,0,0,"CHN",1392730000
2020-01-23,"China","Ningxia",1,0,0,"CHN",1392730000
2020-01-23,"China","Qinghai",0,0,0,"CHN",1392730000
2020-01-23,"China","Shaanxi",3,0,0,"CHN",1392730000
2020-01-23,"China","Shandong",6,0,0,"CHN",1392730000
2020-01-23,"China","Shanghai",16,0,0,"CHN",1392730000
2020-01-23,"China","Shanxi",1,0,0,"CHN",1392730000
2020-01-23,"China","Sichuan",8,0,0,"CHN",1392730000
2020-01-23,"China","Tianjin",4,0,0,"CHN",1392730000
2020-01-23,"China","Tibet",0,0,0,"CHN",1392730000
2020-01-23,"China","Xinjiang",2,0,0,"CHN",1392730000
2020-01-23,"China","Yunnan",2,0,0,"CHN",1392730000
2020-01-23,"China","Zhejiang",27,0,0,"CHN",1392730000
2020-01-23,"Colombia","",0,0,0,"COL",49648685
2020-01-23,"Japan","",1,0,0,"JPN",126529100
2020-01-23,"Malaysia","",0,0,0,"MYS",31528585
2020-01-23,"Mexico","",0,0,0,"MEX",126190788
2020-01-23,"Philippines","",0,0,0,"PHL",106651922
2020-01-23,"Singapore","",1,0,0,"SGP",5638676
2020-01-23,"South Korea","",1,0,0,"KOR",51635256
2020-01-23,"Taiwan","Taiwan",1,0,0,"TWN",NA
2020-01-23,"Thailand","",3,0,0,"THA",69428524
2020-01-23,"US","Washington",1,0,0,"USA",327167434
2020-01-23,"Vietnam","",2,0,0,"VNM",95540395
2020-01-24,"China","Anhui",15,0,0,"CHN",1392730000
2020-01-24,"China","Beijing",36,0,1,"CHN",1392730000
2020-01-24,"China","Chongqing",27,0,0,"CHN",1392730000
2020-01-24,"China","Fujian",10,0,0,"CHN",1392730000
2020-01-24,"China","Gansu",2,0,0,"CHN",1392730000
2020-01-24,"China","Guangdong",53,0,2,"CHN",1392730000
2020-01-24,"China","Guangxi",23,0,0,"CHN",1392730000
2020-01-24,"China","Guizhou",3,0,0,"CHN",1392730000
2020-01-24,"China","Hainan",8,0,0,"CHN",1392730000
2020-01-24,"China","Hebei",2,1,0,"CHN",1392730000
2020-01-24,"China","Heilongjiang",4,1,0,"CHN",1392730000
2020-01-24,"China","Henan",9,0,0,"CHN",1392730000
2020-01-24,"China","Hong Kong",2,0,0,"CHN",1392730000
2020-01-24,"China","Hubei",549,24,31,"CHN",1392730000
2020-01-24,"China","Hunan",24,0,0,"CHN",1392730000
2020-01-24,"China","Inner Mongolia",1,0,0,"CHN",1392730000
2020-01-24,"China","Jiangsu",9,0,0,"CHN",1392730000
2020-01-24,"China","Jiangxi",18,0,0,"CHN",1392730000
2020-01-24,"China","Jilin",3,0,0,"CHN",1392730000
2020-01-24,"China","Liaoning",4,0,0,"CHN",1392730000
2020-01-24,"China","Macau",2,0,0,"CHN",1392730000
2020-01-24,"China","Ningxia",2,0,0,"CHN",1392730000
2020-01-24,"China","Qinghai",0,0,0,"CHN",1392730000
2020-01-24,"China","Shaanxi",5,0,0,"CHN",1392730000
2020-01-24,"China","Shandong",15,0,0,"CHN",1392730000
2020-01-24,"China","Shanghai",20,0,1,"CHN",1392730000
2020-01-24,"China","Shanxi",1,0,0,"CHN",1392730000
2020-01-24,"China","Sichuan",15,0,0,"CHN",1392730000
2020-01-24,"China","Tianjin",8,0,0,"CHN",1392730000
2020-01-24,"China","Xinjiang",2,0,0,"CHN",1392730000
2020-01-24,"China","Yunnan",5,0,0,"CHN",1392730000
2020-01-24,"China","Zhejiang",43,0,1,"CHN",1392730000
2020-01-24,"France","",2,0,0,"FRA",66987244
2020-01-24,"Japan","",2,0,0,"JPN",126529100
2020-01-24,"Singapore","",3,0,0,"SGP",5638676
2020-01-24,"South Korea","",2,0,0,"KOR",51635256
2020-01-24,"Taiwan","Taiwan",3,0,0,"TWN",NA
2020-01-24,"Thailand","",5,0,0,"THA",69428524
2020-01-24,"US","Washington",1,0,0,"USA",327167434
2020-01-24,"US","Chicago",1,0,0,"USA",327167434
2020-01-24,"Vietnam","",2,0,0,"VNM",95540395
2020-01-25,"Australia","",4,0,0,"AUS",24992369
2020-01-25,"China","Anhui",39,0,0,"CHN",1392730000
2020-01-25,"China","Beijing",41,0,2,"CHN",1392730000
2020-01-25,"China","Chongqing",57,0,0,"CHN",1392730000
2020-01-25,"China","Fujian",18,0,0,"CHN",1392730000
2020-01-25,"China","Gansu",4,0,0,"CHN",1392730000
2020-01-25,"China","Guangdong",78,0,2,"CHN",1392730000
2020-01-25,"China","Guangxi",23,0,0,"CHN",1392730000
2020-01-25,"China","Guizhou",4,0,0,"CHN",1392730000
2020-01-25,"China","Hainan",19,0,0,"CHN",1392730000
2020-01-25,"China","Hebei",8,1,0,"CHN",1392730000
2020-01-25,"China","Heilongjiang",9,1,0,"CHN",1392730000
2020-01-25,"China","Henan",32,0,0,"CHN",1392730000
2020-01-25,"China","Hong Kong",5,0,0,"CHN",1392730000
2020-01-25,"China","Hubei",761,40,32,"CHN",1392730000
2020-01-25,"China","Hunan",43,0,0,"CHN",1392730000
2020-01-25,"China","Inner Mongolia",7,0,0,"CHN",1392730000
2020-01-25,"China","Jiangsu",18,0,1,"CHN",1392730000
2020-01-25,"China","Jiangxi",18,0,0,"CHN",1392730000
2020-01-25,"China","Jilin",4,0,0,"CHN",1392730000
2020-01-25,"China","Liaoning",17,0,0,"CHN",1392730000
2020-01-25,"China","Macau",2,0,0,"CHN",1392730000
2020-01-25,"China","Ningxia",3,0,0,"CHN",1392730000
2020-01-25,"China","Qinghai",1,0,0,"CHN",1392730000
2020-01-25,"China","Shaanxi",15,0,0,"CHN",1392730000
2020-01-25,"China","Shandong",27,0,0,"CHN",1392730000
2020-01-25,"China","Shanghai",33,0,1,"CHN",1392730000
2020-01-25,"China","Shanxi",6,0,0,"CHN",1392730000
2020-01-25,"China","Sichuan",28,0,0,"CHN",1392730000
2020-01-25,"China","Tianjin",10,0,0,"CHN",1392730000
2020-01-25,"China","Xinjiang",3,0,0,"CHN",1392730000
2020-01-25,"China","Yunnan",11,0,0,"CHN",1392730000
2020-01-25,"China","Zhejiang",62,0,1,"CHN",1392730000
2020-01-25,"France","",3,0,0,"FRA",66987244
2020-01-25,"Japan","",2,0,0,"JPN",126529100
2020-01-25,"Malaysia","",3,0,0,"MYS",31528585
2020-01-25,"Nepal","",1,0,0,"NPL",28087871
2020-01-25,"Singapore","",3,0,0,"SGP",5638676
2020-01-25,"South Korea","",2,0,0,"KOR",51635256
2020-01-25,"Taiwan","Taiwan",3,0,0,"TWN",NA
2020-01-25,"Thailand","",7,0,0,"THA",69428524
2020-01-25,"US","Washington",1,0,0,"USA",327167434
2020-01-25,"US","Illinois",1,0,0,"USA",327167434
2020-01-25,"Vietnam","",2,0,0,"VNM",95540395
2020-01-26,"Australia","",4,0,0,"AUS",24992369
2020-01-26,"Canada","Ontario",1,0,0,"CAN",37058856
2020-01-26,"China","Anhui",60,0,0,"CHN",1392730000
2020-01-26,"China","Beijing",68,0,2,"CHN",1392730000
2020-01-26,"China","Chongqing",75,0,0,"CHN",1392730000
2020-01-26,"China","Fujian",35,0,0,"CHN",1392730000
2020-01-26,"China","Gansu",7,0,0,"CHN",1392730000
2020-01-26,"China","Guangdong",111,0,2,"CHN",1392730000
2020-01-26,"China","Guangxi",36,0,0,"CHN",1392730000
2020-01-26,"China","Guizhou",5,0,0,"CHN",1392730000
2020-01-26,"China","Hainan",22,0,0,"CHN",1392730000
2020-01-26,"China","Hebei",13,1,0,"CHN",1392730000
2020-01-26,"China","Heilongjiang",15,1,0,"CHN",1392730000
2020-01-26,"China","Henan",83,1,0,"CHN",1392730000
2020-01-26,"China","Hong Kong",8,0,0,"CHN",1392730000
2020-01-26,"China","Hubei",1058,52,42,"CHN",1392730000
2020-01-26,"China","Hunan",69,0,0,"CHN",1392730000
2020-01-26,"China","Inner Mongolia",7,0,0,"CHN",1392730000
2020-01-26,"China","Jiangsu",33,0,1,"CHN",1392730000
2020-01-26,"China","Jiangxi",36,0,0,"CHN",1392730000
2020-01-26,"China","Jilin",4,0,0,"CHN",1392730000
2020-01-26,"China","Liaoning",21,0,0,"CHN",1392730000
2020-01-26,"China","Macau",5,0,0,"CHN",1392730000
2020-01-26,"China","Ningxia",4,0,0,"CHN",1392730000
2020-01-26,"China","Qinghai",1,0,0,"CHN",1392730000
2020-01-26,"China","Shaanxi",22,0,0,"CHN",1392730000
2020-01-26,"China","Shandong",46,0,0,"CHN",1392730000
2020-01-26,"China","Shanghai",40,1,1,"CHN",1392730000
2020-01-26,"China","Shanxi",9,0,0,"CHN",1392730000
2020-01-26,"China","Sichuan",44,0,0,"CHN",1392730000
2020-01-26,"China","Tianjin",14,0,0,"CHN",1392730000
2020-01-26,"China","Xinjiang",4,0,0,"CHN",1392730000
2020-01-26,"China","Yunnan",16,0,0,"CHN",1392730000
2020-01-26,"China","Zhejiang",104,0,1,"CHN",1392730000
2020-01-26,"France","",3,0,0,"FRA",66987244
2020-01-26,"Japan","",4,0,1,"JPN",126529100
2020-01-26,"Malaysia","",4,0,0,"MYS",31528585
2020-01-26,"Nepal","",1,0,0,"NPL",28087871
2020-01-26,"Singapore","",4,0,0,"SGP",5638676
2020-01-26,"South Korea","",3,0,0,"KOR",51635256
2020-01-26,"Taiwan","Taiwan",4,0,0,"TWN",NA
2020-01-26,"Thailand","",8,0,2,"THA",69428524
2020-01-26,"US","Washington",1,0,0,"USA",327167434
2020-01-26,"US","Illinois",1,0,0,"USA",327167434
2020-01-26,"US","Arizona",1,0,0,"USA",327167434
2020-01-26,"US","California",2,0,0,"USA",327167434
2020-01-26,"Vietnam","",2,0,0,"VNM",95540395
2020-01-27,"Australia","New South Wales",4,0,0,"AUS",24992369
2020-01-27,"Australia","Victoria",1,0,0,"AUS",24992369
2020-01-27,"Cambodia","",1,0,0,"KHM",16249798
2020-01-27,"Canada","Ontario",1,0,0,"CAN",37058856
2020-01-27,"China","Anhui",70,0,0,"CHN",1392730000
2020-01-27,"China","Beijing",80,1,2,"CHN",1392730000
2020-01-27,"China","Chongqing",110,0,0,"CHN",1392730000
